id,country,population
1,Germany,83294633
2,France,64756584
3,Italy,58870762
4,Spain,47519628
5,Poland,41026067
6,Romania,19892812
7,Netherlands,17618299
8,Belgium,11686140
9,Sweden,10612086
10,Czech Republic (Czechia),10495295
11,Greece,10341277
12,Portugal,10247605
13,Hungary,10156239
14,Austria,8958960
15,Bulgaria,6687717
16,Denmark,5910913
17,Slovakia,5795199
18,Finland,5545475
19,Ireland,5056935
20,Croatia,4008617
21,Lithuania,2718352
22,Slovenia,2119675
23,Latvia,1830211
24,Estonia,1322765
25,Cyprus,1260138
26,Luxembourg,654768
27,Malta,535064
28,Germany,83294633
29,France,64756584
30,Italy,58870762
31,Spain,47519628
32,Poland,41026067
33,Romania,19892812
34,Netherlands,17618299
35,Belgium,11686140
36,Sweden,10612086
37,Czech Republic (Czechia),10495295
38,Greece,10341277
39,Portugal,10247605
40,Hungary,10156239
41,Austria,8958960
42,Bulgaria,6687717
43,Denmark,5910913
44,Slovakia,5795199
45,Finland,5545475
46,Ireland,5056935
47,Croatia,4008617
48,Lithuania,2718352
49,Slovenia,2119675
50,Latvia,1830211
51,Estonia,1322765
52,Cyprus,1260138
53,Luxembourg,654768
54,Malta,535064
